researcher_ID,first_name,last_name,sex,birth_date,org_acronym,start_date
r0000,Linn,Worell,F,1981-07-22,E.C.D.C.,2021-04-29
r0001,Thain,Dearmore,M,1982-07-20,E.A.S.A.,2020-10-20
r0002,Cameo,Berthold,F,1984-04-02,E.F.S.A.,2019-12-20
r0003,Morrie,Langkabel,M,1995-06-22,E.C.D.C.,2021-01-24
r0004,Lowell,Concha,M,1991-08-28,E.B.A.,2020-12-10
r0005,Oriana,Acimovic,F,2000-04-19,E.L.A.,2020-09-20
r0006,Sharla,Mckesson,F,1998-11-25,EU-OSHA,2021-07-17
r0007,Trever,Cearley,M,1995-02-20,E.M.S.A.,2021-09-28
r0008,Wenona,Mizrahi,F,1966-02-09,E.F.S.A.,2021-04-25
r0009,Bob,Harwick,F,1978-01-10,E.S.A.,2019-08-12
r0010,Fulvia,Tinkey,F,1967-04-06,E.R.A.,2021-05-03
r0011,Monroe,Prey,M,1973-11-25,E.A.S.A.,2021-04-06
r0012,Kristal,Waters,F,1979-08-07,E.I.O.P.A.,2019-06-08
r0013,Rosina,Muncy,F,1974-06-11,E.S.A.,2019-07-27
r0014,Nidia,Murthy,F,1987-12-01,E.I.G.E.,2019-09-15
r0015,Hermia,Chatlos,F,1973-03-30,E.I.O.P.A.,2020-01-27
r0016,Loralie,Bourdage,F,1960-02-11,E.D.P.B.,2020-08-17
r0017,Teodor,Vanness,M,1976-07-10,E.CH.A.,2019-06-21
r0018,Jule,Kleinwolterin,M,1970-11-04,EU-OSHA,2021-06-01
r0019,Coriss,Diallo,F,1983-11-17,F.R.A.,2021-01-15
r0020,Dion,Umland,M,1989-01-13,E.I.G.E.,2019-11-17
r0021,Meade,Marchessault,M,1964-03-22,A.C.E.R.,2022-01-16
r0022,Morris,Goodsell,M,1968-12-27,E.I.G.E.,2019-07-02
r0023,Zandra,Ogiba,F,1993-06-28,E.A.S.A.,2020-08-30
r0024,Ralf,Revere,M,1971-10-25,E.D.P.B.,2021-10-20
r0025,Illa,Routte,F,1979-12-25,E.C.B.,2021-05-20
r0026,Ingaberg,Farthing,F,1988-11-11,E.C.D.C.,2020-05-20
r0027,Laraine,Mcnear,F,1963-10-04,E.M.S.A.,2019-06-30
r0028,Clo,Stepovich,F,1961-12-08,E.D.P.B.,2020-07-31
r0029,Tabbie,Roberge,M,1987-04-18,E.R.A.,2020-05-14
r0030,Madelina,Lillehaug,F,1966-01-13,E.C.D.C.,2020-03-21
r0031,Lesley,Magpali,F,1999-07-11,E.F.S.A.,2021-03-03
r0032,Flossi,Weiher,F,1994-03-11,E.R.A.,2019-12-19
r0033,Berri,Babbit,F,1993-07-07,E.R.A.,2021-01-29
r0034,Justis,Kocourek,M,1985-08-22,E.CH.A.,2020-03-18
r0035,Allyn,Axley,M,1969-11-11,E.D.P.B.,2021-07-07
r0036,Saunder,Megown,M,1996-09-12,F.R.A.,2022-04-17
r0037,Maribel,Kroeger,F,1975-10-29,E.B.A.,2020-01-14
r0038,Cletus,Chupka,M,1964-02-18,E.D.P.S.,2022-03-12
r0039,Ruthy,Bowler,F,1968-11-30,E.U.S.P.A.,2020-09-03
r0040,Rod,Bullinger,M,1967-10-24,E.C.B.,2020-02-11
r0041,Chaunce,Lenharr,M,2000-04-30,E.U.S.P.A.,2022-05-06
r0042,Richard,Nohe,M,1989-09-09,E.M.S.A.,2020-12-26
r0043,Reginauld,Reddicks,M,1989-07-18,E.S.A.,2022-04-22
r0044,Vina,Gari,F,1964-02-26,E.I.G.E.,2020-08-24
r0045,Saundra,Jago,M,1983-01-26,B.E.R.E.C.,2021-07-01
r0046,Carlton,Peralto,M,1994-12-03,E.D.P.B.,2021-08-16
r0047,Etheline,Fromong,F,1983-05-24,E.U.S.P.A.,2021-12-28
r0048,Beryl,Treuter,F,1965-07-01,E.C.B.,2019-09-13
r0049,Ingelbert,Francisco,M,1980-01-25,E.I.G.E.,2020-04-20
r0050,Colleen,Hoffmaster,F,1996-05-04,E.B.A.,2020-10-17
r0051,Rebeca,Shomo,F,1968-04-13,E.I.G.E.,2019-11-19
r0052,Patricio,Centner,M,1969-02-24,A.C.E.R.,2022-05-07
r0053,Faye,Peakes,F,1981-10-09,E.L.A.,2022-01-28
r0054,Roger,Ryken,M,1997-11-29,F.R.A.,2021-09-08
r0055,Alfreda,Mittelsteadt,F,1994-06-24,E.L.A.,2022-04-12
r0056,Bertine,Quirarte,F,1985-09-09,E.L.A.,2019-08-04
r0057,Abraham,Guisinger,M,1988-01-12,E.D.P.B.,2021-08-06
r0058,Blaine,Fetter,M,1968-01-15,E.R.A.,2021-08-11
r0059,Bobbi,Libera,F,1974-06-22,E.E.A.,2022-01-16
r0060,Emogene,Tear,F,1994-02-08,E.E.A.,2019-12-21
