researcher_ID,first_name,last_name,sex,birth_date,org_acronym,start_date
res1,Jazmine,Pheobe,M,1989-01-01,org1,2022-01-01
res2,Alanis,Ferrell,F,1969-01-01,org2,2022-01-01
res3,Vinay,Calhoun,F,1979-01-01,org3,2022-01-01
res4,Reilly,Evans,F,1979-01-01,org2,2022-01-01
res5,Maddie,Hopper,M,2000-01-01,org1,2022-01-01
res6,Kellie,Bruce,M,1977-01-01,org6,2022-01-01
res7,Sameera,Hollis,F,1997-01-01,org1,2022-01-01
res8,Olli,Rahman,F,1967-01-01,org3,2022-01-01
res9,Kirstie,Pearson,F,2001-01-01,org9,2022-01-01
res10,Hudson,Rigby,M,2002-01-01,org10,2022-01-01
res11,Nathaniel,Cervantes,F,2003-01-01,org1,2022-01-01
res12,Adina,Vinson,F,2004-01-01,org2,2022-01-01
res13,Maximillian,Plummer,M,2005-01-01,org3,2022-01-01
res14,Tyler,Costa,M,2006-01-01,org8,2022-01-01
res15,Eiliyah,Hawes,F,2007-01-01,org10,2022-01-01
res16,Emilee,Salinas,F,2008-01-01,org4,2022-01-01
res17,Evie-Mai,Kaiser,M,2009-01-01,org8,2022-01-01
res18,Tom,Lawson,F,2010-01-01,org5,2022-01-01
res19,Annette,Mcleod,M,2011-01-01,org9,2022-01-01
res20,Melody,Dyer,F,2012-01-01,org9,2022-01-01
res21,Esha,Wardle,M,2013-01-01,org6,2022-01-01
res22,Zidane,Tang,F,2014-01-01,org7,2022-01-01
res23,Francisco,Schwartz,M,2015-01-01,org8,2022-01-01
res24,Harris,Barclay,M,2016-01-01,org9,2022-01-01
res25,Blossom,Cano,M,2017-01-01,org4,2022-01-01
res26,Montel,Burch,F,2018-01-01,org5,2022-01-01
res27,Klara,Devlin,F,2019-01-01,org6,2022-01-01
res28,Kristian,Sparrow,M,2020-01-01,org1,2022-01-01
res29,Josiah,Trevino,M,2021-01-01,org1,2022-01-01
res30,Olivia,Deacon,M,2022-01-01,org5,2022-01-01
res31,Kaitlan,Doherty,F,2023-01-01,org5,2022-01-01
res32,Sirinivasan,Tannaka,M,2024-01-01,org6,2022-01-01
